hgnc_symbol 	& d_genes 	& n_pathways 	& expression_ant 	& expression_post 	& t_test \\
CACNG4 	& 0.04 	& 5(1) 	& 1.34 	& 1.37 	& 0.445 \\
POLR2E 	& 0.03 	& 26(1) 	& 1.25 	& 1.22 	& 0.0433 \\
NNT 	& 0.03 	& 2(1) 	& 1.25 	& 1.23 	& 0.0995 \\
PPCS 	& 0.03 	& 1(1) 	& 1.19 	& 1.2 	& 0.819 \\
MAPK1 	& 0.02 	& 41(1) 	& 1.39 	& 1.42 	& 0.624 \\
HDAC4 	& 0.02 	& 4(1) 	& 1.17 	& 1.19 	& 0.507 \\
DUSP7 	& 0.02 	& 10(2) 	& 1.12 	& 1.12 	& 0.943 \\
PAK1 	& 0.02 	& 15(1) 	& 1.22 	& 1.24 	& 0.404 \\
DDR1 	& 0.02 	& 1(1) 	& 1.14 	& 1.14 	& 0.0134 \\
PRKCA 	& 0.02 	& 15(1) 	& 1.27 	& 1.27 	& 0.0703 \\
SEC24D 	& 0.02 	& 3(1) 	& 1.16 	& 1.15 	& 0.929 \\
LRRC8A 	& 0.02 	& 1(1) 	& 1.26 	& 1.25 	& 0.314 \\
CAMKK1 	& 0.02 	& 1(1) 	& 1.15 	& 1.19 	& 0.1 \\
TFDP2 	& 0.02 	& 10(1) 	& 1.19 	& 1.16 	& 0.0586 \\
NAPA 	& 0.02 	& 6(1) 	& 1.35 	& 1.35 	& 0.129 \\
RGS4 	& 0.01 	& 1(1) 	& 1.33 	& 1.36 	& 0.49 \\
RBP1 	& 0.01 	& 3(1) 	& 1.37 	& 1.36 	& 0.973 \\
CTDSP2 	& 0.01 	& 1(1) 	& 1.4 	& 1.39 	& 0.176 \\
