"entrezgene","length"
100217443,66
100217444,57
100217445,99
100217446,65
100217447,125
100217448,118
100217449,118
100217450,157
100217451,129
100217452,59
100217453,91
100217454,53
100217455,62
100217456,68
100217457,109
100217458,98
100217459,53
100217460,65
100217461,94
100217462,71
100217464,113
100217465,64
100217466,62
100217467,101
100217468,45
100217469,60
100226,2903
100233175,4727
100233207,777
100233208,9450
100270707,1878
100270744,3520
100271704,638
100271841,2456
100271882,1728
100271928,951
100272219,1696
100272221,1405
100273,3523
100294583,1507
100302498,128
100302499,120
100302529,60
100302565,48
100302567,94
100302601,77
100302626,1517
100302688,857
100302730,12339
100303644,3630
100303645,2232
100303646,54
100303647,30
100303732,1811
100303736,119
100303738,3954
100303740,116
100303746,61
100303747,124
100303751,112
100306943,273
100306952,157
100306955,1475
100310813,136
100310872,802
100312470,921
100312471,921
100312473,951
100312474,951
100312475,924
100312476,921
100312477,945
100312484,906
100312485,939
100312948,330
100312949,351
100312956,1329
100312986,914
100312987,389
100313519,221
100313531,4345
100313943,121
100316663,127
100316665,121
100316666,122
100316668,127
100316669,120
100316672,121
100316673,121
100316677,119
100316678,80
100316679,79
100316680,80
100316681,78
100316682,80
100316683,80
100316684,83
100316685,90
100316686,78
100316688,93
100316689,119
100316690,90
100316692,118
100316693,100
100316694,2617
100316695,73
100316696,74
100316697,134
100316698,85
100316699,85
100316700,1221
100316703,89
100316704,89
100316706,65
100316709,78
100316710,59
100316711,83
100316712,108
100316713,68
100316715,106
100316716,132
100316717,793
100316725,75
100316733,152
100316735,75
100316736,88
100316739,85
100316749,120
100316751,120
100316752,81
100316753,88
100316755,56
100316756,98
100316758,126
100316770,121
100316771,118
100316772,96
100316773,83
100316774,63
100316777,94
100316778,74
100316779,66
100316783,122
100316802,123
100316803,122
100316805,121
100316806,119
100316808,82
100316809,160
100316810,81
100316811,84
100316812,93
100316814,71
100316816,79
100316818,121
100316819,82
100316821,82
100316827,107
100316831,125
100316832,8567
100316833,78
100316834,98
100316840,83
100316841,112
100316870,12530
100316903,4519
100316932,121
100317,5379
100322896,2437
100328588,2306
100336,2041
100340,1925
100342,2288
100379145,184
100382,5074
100383,2659
100384868,7811
100415784,1829
100415785,1096
100434,5649
100463512,334
100465,2882
100470,1958
100473,3655
100494,3321
100499420,2956
100499512,65
100499513,84
100499514,82
100499517,83
100499520,119
100499521,58
100499525,123
100499527,63
100499528,78
100499529,58
100502698,6653
100502723,1072
100502841,10150
100502876,720
100502936,1811
100502942,907
100503044,2940
100503311,1127
100503605,639
100503659,3498
100503670,2019
100503704,2551
100503759,3604
100504195,2500
100504239,3468
100504362,1740
100504473,1901
100504518,5547
100504663,3451
100504710,1536
100504715,6856
100504733,1752
100505386,2397
100515,6882
100526460,86
100526461,98
100526462,98
100526463,91
100526464,82
100526465,91
100526466,83
100526467,91
100526469,67
100526470,83
100526472,89
100526474,85
100526476,64
100526478,84
100526480,87
100526482,84
100526484,249
100526498,74
100526499,84
100526501,64
100526502,87
100526504,65
100526505,88
100526506,92
100526507,71
100526508,104
100526510,90
100526511,79
100526512,80
100526513,49
100526514,82
100526515,82
100526516,2074
100526517,84
100526518,87
100526519,89
100526520,4126
100526522,331
100526525,96
100526527,68
100526528,83
100526529,87
100526531,80
100526532,84
100526533,85
100526534,64
100526538,87
100526540,1175
100526541,66
100526543,80
100526544,69
100526546,79
100526547,85
100526549,89
100526552,87
100526553,332
100526555,56
100526556,76
100526557,67
100526558,63
100526559,67
100526560,88
100526796,1223
100529074,105
100529075,68
100529076,45
100529077,55
100529082,1344
100532,3334
100535,1734
100554,1275
100559,1893
100561,2905
100604,2829
100608,2039
100609,2242
100637,3440
100647,2036
100662,7536
100678,1537
100683,12829
100689,2237
100702,4316
100705,8793
100710,8395
100715,1940
100727,6242
100732,2814
100737,4228
100756,2790
100763,9432
100764,1666
100855,8429
100900,804
100910,5979
100929,6679
100952,6234
100972,1748
100978,7036
100986,15589
101023,2969
101095,7431
101100,5435
101113,3833
101118,4548
101122,1736
101142,6066
101148,8031
101185,5736
101187,5107
101197,3009
101202,2236
101206,2915
101214,6928
101240,2637
101314,1095
101320,2432
101351,3205
101358,4219
101359,3413
101401,10476
101434,1391
101437,3270
101471,7377
101476,7669
101488,4800
101489,2967
101490,7889
101497,8010
101502,2660
101513,6390
101533,1475
101540,4572
101543,1957
101544,2741
101565,9809
101568,1826
101592,7353
101602,1918
101604,2495
101612,1974
101613,3916
101631,4031
101685,5226
101700,2389
101706,8974
101739,4260
101744,1923
101772,4569
101809,4465
101831,1788
101835,4633
101861,4282
101867,3177
101869,3372
101883,3515
101943,5560
101966,1109
101985,1764
101994,4148
102022,1964
102032,1459
102058,7407
102060,1734
102075,6703
102093,6180
102098,11121
102103,9665
102115,2435
102122,1799
102124,1871
102141,3588
102162,3035
102182,6021
102193,2854
102209,1635
102247,4785
102278,4244
102294,2930
102323,4808
102334,5184
102339,2967
102371,2283
102414,3611
102423,2463
102436,7135
102442,18602
102448,4161
102462,899
102502,3697
102545,3341
102566,3975
102570,2004
102580,2664
102595,3426
102607,5541
102614,1346
102623,4859
102626,4537
102632,3348
102644,2388
102657,3296
102680,1894
102693,6185
102747,5557
102774,2542
102791,1629
102857,6294
102866,3421
102871,3900
102920,4213
102941,2625
102954,1750
102991,4043
103012,8701
103080,2654
103098,3607
103135,8385
103136,2805
103140,1873
103142,3186
103149,1435
103161,1930
103172,1138
103175,2382
103199,3263
103213,2867
103220,5767
103236,2730
103266,4656
103268,3842
103284,2089
103406,5976
103425,2879
103466,6086
103468,3721
103505,1320
103511,1786
103534,2429
103537,8145
103551,2330
103554,13781
103573,5144
103583,7419
103655,2942
103677,5799
103694,1625
103710,3059
103711,2036
103712,1598
103724,2672
103729,1500
103733,1777
103737,3720
103742,744
103743,1393
103765,1370
103768,2778
103775,1332
103784,3431
103806,5552
103836,2412
103841,4223
103844,1682
103850,3238
103889,1629
103963,3642
103964,946
103967,14572
103968,3821
103978,3949
103988,3125
104001,3789
104002,1842
104009,7130
104010,3778
104015,7584
104027,12577
104069,1196
104079,2093
104080,1675
104082,7579
104086,1890
104099,7091
104103,2188
104110,3546
104111,5135
104112,4724
104130,853
104156,3876
104158,1966
104174,4236
104175,4092
104183,1510
104184,2355
104215,4122
104245,2549
104248,9847
104252,4352
104263,7173
104271,12648
104303,842
104307,150
104318,4580
104346,2091
104348,4244
104349,2332
104360,2140
104362,777
104366,117
104367,118
104368,129
104369,122
104370,98
104382,2314
104383,2699
104384,882
104394,1993
104401,8793
104416,3406
104418,5840
104433,128
104443,1643
104444,2484
104445,2542
104457,2166
104458,2131
104479,3401
104570,5720
104582,1072
104601,3866
104625,8191
104662,3825
104681,4508
104709,5623
104718,3442
104721,2469
104725,1363
104732,3612
104759,2340
104771,1081
104776,3345
104799,3633
104806,10608
104816,2732
104831,5515
104836,3067
104859,10043
104871,3145
104884,5261
104885,2373
104886,3126
104910,3102
104923,1675
104943,2670
105000,6031
105005,3380
105014,1472
105083,3091
105148,4396
105171,6520
105193,2294
105203,9455
105239,4825
105243,5117
105245,3691
105246,5409
105278,1827
105298,2387
105348,3693
105349,1172
105351,2050
105352,4911
105355,6910
105372,4071
105377,5382
105387,2445
105404,3576
105418,1699
105428,5194
105439,2890
105440,4809
105445,10669
105446,2662
105450,3934
105501,3315
105504,9088
105511,1693
105513,2706
105522,5307
105559,9122
105590,2751
105594,4959
105638,3797
105651,3000
105653,2789
105663,5474
105670,7214
105675,1547
105689,19598
105722,5212
105727,14661
105732,4628
105734,4801
105782,5547
105785,1414
105787,4655
105827,6400
105833,1969
105835,3120
105837,5237
105841,5427
105844,5017
105847,4534
105853,2775
105855,5896
105859,2490
105866,1563
105887,2248
105892,857
105988,6774
106014,2908
106021,3842
106025,1733
106039,3183
106042,4872
106052,3446
106064,5207
106068,4978
106073,1742
106143,8148
106200,7729
106205,4472
106248,4831
106264,1471
106298,3598
106326,4521
106338,1440
106344,1640
106347,4974
106369,4141
106389,2573
106393,5077
106407,1544
106489,1899
106504,3527
106512,1505
106522,2454
106529,1632
106557,1445
106564,1526
106565,1814
106572,4141
106581,2741
106582,1464
106583,11591
106585,11168
106618,7183
106628,2300
106633,6074
106639,2276
106648,2267
106672,766
106707,1703
106722,2382
106740,1088
106757,3650
106759,2830
106763,8718
106766,1491
106794,7131
106795,2392
106821,1588
106840,4601
106861,1887
106869,5855
106877,3590
106878,1986
106894,10527
106931,7347
106947,3710
106952,8338
106957,3882
107022,5959
107029,4127
107035,6075
107045,3806
107047,1932
107065,5667
107071,1219
107094,4320
107141,3223
107146,1442
107173,2947
107182,11171
107197,831
107221,1393
107227,1275
107239,4141
107242,2911
107250,2273
107260,1677
107271,2874
107272,2839
107305,4756
107321,1673
107328,1383
107338,9330
107350,775
107351,5448
107358,12478
107368,7076
107371,2775
107372,2595
107373,3199
107375,3610
107376,2070
107392,2435
107435,4064
107448,3974
107449,6256
107476,11934
107477,1668
107503,1993
107508,7465
107513,10264
107515,5060
107522,8646
107526,4906
107527,2010
107528,3516
107566,2030
107568,5264
107569,1778
107581,6186
107585,1868
107586,2016
107587,2278
107589,12269
107605,3890
107607,4415
107650,3737
107652,3116
107656,2580
107684,10151
107686,488
107701,1697
107702,2026
107723,10256
107732,1682
107733,2423
107734,691
107746,6500
107747,3164
107751,3427
107753,592
107765,1765
107766,2936
107767,3963
107769,4743
107770,1520
107771,841
107815,6115
107817,3856
107823,15093
107829,2235
107831,6804
107849,822
107868,8094
107869,1801
107885,2694
107889,3471
107895,5865
107932,6964
107934,11674
107939,5581
107951,3817
107970,912
107971,2135
107975,5459
107976,3521
107986,3983
107993,1606
107995,2697
107999,2160
108000,11357
108011,11965
108012,4420
108013,5969
108014,1252
108015,4588
108017,808
108030,5964
108037,2469
108043,7252
108052,3995
108058,11519
108062,5916
108067,4218
108068,4611
108069,3536
108071,10098
108072,6146
108073,5653
108075,5817
108077,5637
108078,3568
108079,8201
108083,5053
108086,6541
108089,5162
108096,4070
108097,4535
108098,780
108099,5761
108100,6226
108101,2764
108105,4872
108112,1151
108114,2007
108115,4980
108116,7155
108121,974
108123,3482
108124,2332
108138,1547
108143,3996
108147,5377
108148,4110
108150,5546
108151,8185
108153,7670
108154,5205
108155,7184
108156,3324
108159,2817
108160,1383
108161,1374
108176,986
108645,4568
108652,3540
108653,4861
108654,9653
108655,11260
108657,7073
108660,1939
108664,3725
108670,2416
108671,2381
108672,5508
108673,3003
108679,1843
108682,5680
108686,11785
108687,2294
108689,2826
108699,5805
108705,2247
108707,2494
108723,4414
108735,5526
108737,2536
108755,1330
108760,4549
108767,1925
108797,3416
108800,13515
108802,2076
108803,1615
108811,1932
108812,1776
108816,13732
108829,13687
108832,2699
108837,8086
108841,4418
108853,2621
108857,9327
108888,4677
108897,2953
108899,5606
108900,2105
108902,3642
108903,3912
108907,2960
108909,3771
108911,3767
108912,5415
108927,2134
108934,4483
108937,7156
108943,7752
108946,7892
108950,806
108954,6155
108956,2044
108958,4528
108960,4583
108961,3880
108978,4726
108989,8613
108995,2934
109006,4546
109019,9706
109032,2266
109042,1026
109050,4781
109052,3268
109054,1188
109065,3129
109075,1789
109077,3294
109079,5649
109082,4039
109093,1961
109095,3016
109108,3531
109113,6381
109115,3383
109129,1302
109135,6714
109136,3690
109145,1364
109151,13575
109154,5952
109161,2941
109168,6699
109181,6637
109205,4980
109212,1466
109218,1147
109222,1411
109225,4061
109229,2020
109232,1922
109241,11171
109242,8039
109245,5367
109246,4051
109254,2566
109263,7260
109264,11669
109267,2794
109270,2059
109272,3977
109275,3750
109280,1455
109284,1821
109294,14057
109305,2859
109314,1183
109323,1692
109331,6895
109332,8110
109333,6663
109335,1303
109342,2414
109346,2335
109349,2946
109359,6200
109361,3607
109552,2466
109575,2083
109593,2531
109594,1071
109620,9592
109624,5521
109637,1300
109648,545
109652,1431
109658,5120
109660,888
109663,915
109672,749
109674,4358
109676,12016
109685,1830
109689,7112
109697,1578
109700,9759
109711,4221
109731,2412
109754,3965
109778,1834
109785,6370
109791,494
109801,2264
109815,1191
109820,1384
109821,2244
109857,1167
109880,10198
109889,7603
109900,1529
109901,1435
109904,4445
109905,1392
109910,5609
109929,3213
109934,8259
109959,1632
109978,2384
109979,2328
110006,4284
110012,1101
110033,2064
110052,2886
110058,2678
110074,4247
110075,5821
110078,3838
110082,15616
110084,13757
110094,6865
110095,2821
110109,2623
110115,2398
110119,1757
110135,1573
110147,4562
110157,4407
110168,1310
110172,1275
110173,6438
110175,1362
110187,529
110196,1223
110197,5505
110198,1648
110208,2290
110213,2803
110253,10029
110257,1132
110265,4510
110279,6734
110304,1474
110308,2190
110310,1586
110312,748
110323,505
110326,4797
110332,2476
110333,8299
110350,15972
110351,3558
110355,3852
110379,1301
110380,8510
110382,2545
110385,3376
110391,1394
110417,6402
110446,3373
110454,965
110460,2399
110511,924
110521,8753
110524,5411
110532,9221
110542,1947
110557,2341
110593,12049
110595,1939
110596,8263
110606,2560
110611,7228
110616,5638
110637,3488
110639,3638
110648,3338
110651,2723
110695,3371
110696,1592
110749,4088
110750,4174
110751,3842
110784,4087
110789,25517
110794,1238
110796,6190
110805,1116
110809,9781
110816,4823
110821,3117
110826,815
110829,5021
110834,5042
110835,3818
110842,1464
110854,2577
110855,2963
110862,2878
110876,10217
110877,5688
110880,6598
110886,2730
110891,4235
110893,5214
110895,3822
110902,3527
110911,8938
110920,6283
110935,1927
110948,6894
110954,895
110957,3212
110958,2051
110959,1922
110960,2636
110962,5087
111002,1043
111173,10256
111174,999
111175,1510
111186,979
111970,2793
111975,4778
112403,1670
112405,3524
112406,2206
112407,2676
112408,918
112415,4737
112417,1879
112418,1098
112419,3365
112422,2561
11287,4681
11298,1904
11302,11106
11303,10260
11304,8695
11305,8061
11306,11522
11307,6325
11308,3678
11350,7433
11352,19263
11354,409
11363,1892
11364,1845
11370,2158
113845,909
113846,933
113847,942
113848,942
113849,930
113850,840
113851,948
113852,933
113853,1122
113854,933
113855,933
113856,930
113857,1866
113858,936
113859,912
113860,900
113862,903
113863,900
113864,912
113865,909
113868,1758
11409,1837
114128,1897
114141,1416
114142,9196
114143,996
11416,3700
11418,3789
11419,4496
11421,6600
114228,807
114229,3633
11423,7455
114230,1570
114249,3813
11425,464
114255,2902
11426,25459
11428,4319
11429,2768
11430,4502
114301,4872
114304,6131
11431,3221
11432,4653
11433,1616
114332,2607
11434,1773
11435,4288
11438,4437
11440,2906
11441,2091
11443,2149
11444,5384
11447,3196
114479,2928
11448,1591
11449,3130
11450,1232
11451,4253
114564,2719
114565,15526
114566,2091
114570,1312
114584,1159
114585,882
11459,1433
114600,1248
114601,7166
114602,1753
114604,7003
114606,2760
11461,1889
114615,4971
11464,1390
114640,809
114641,1452
114642,5548
114643,2286
114644,4777
11465,1894
114652,450
114654,605
114661,1279
114662,1181
114663,1386
114664,3277
114666,1177
114668,709
114671,1773
114673,1483
114674,5705
114676,1545
114679,1960
11468,1419
11470,1504
11471,1421
114712,885
114713,5838
114714,3034
114715,3923
114716,3907
11472,3752
11474,3004
114741,4491
11475,2990
114763,1160
11477,3298
114774,1828
11479,3277
11480,6080
11481,1997
11482,3940
11484,5426
11486,1626
114863,9817
114868,3067
11487,4589
114871,1963
114872,5441
114873,8420
114874,6061
114875,2828
11488,7252
114886,2331
114889,3566
11489,9319
114893,3597
114896,7016
11490,4156
11491,4722
11492,6469
11495,2551
11496,11238
11497,3026
11498,2330
11499,3129
11500,3841
11501,3319
11502,4214
11504,4885
11512,7938
11513,6744
11514,6472
11515,6694
11516,2270
11517,6243
11518,4386
11519,5459
11520,1887
11522,1334
11529,2079
11532,1533
11534,3720
11535,1381
11536,1694
11537,1077
11538,5813
11539,6384
11540,2534
11541,1844
11542,3012
11544,1583
11545,3827
11546,3806
11548,4524
11549,12902
11550,2394
11551,7393
11552,3936
11553,3198
11554,2491
11555,2144
11556,3362
11564,2109
11565,1927
11566,3802
11567,3033
11568,4437
11569,8281
11571,1416
11572,1387
11576,2086
11593,2611
11595,7469
11596,3042
11600,5249
11601,2475
11602,1530
11603,8623
11604,898
11605,3032
11606,1839
11607,2284
11608,2147
11609,2868
11610,4029
11611,1517
11614,1794
11622,5494
11624,9403
11625,1474
11628,2397
11629,1071
11630,7416
11632,1587
11634,2623
11636,2403
11637,2105
11639,5539
11640,4018
11641,10210
11642,3153
11643,2991
11647,2516
11648,3030
11650,2249
11651,3597
11652,3686
11655,2864
11656,2057
11657,2043
11658,5474
11666,6785
11668,2032
11669,2657
11670,1767
116701,2656
11671,3131
116731,7538
116732,1141
116733,2075
11674,1824
116746,323
116748,968
11676,1869
11677,1402
116810,2970
116811,3676
11682,7728
116837,5230
116838,5962
11684,4401
116847,3601
116848,11222
116849,1211
11685,2309
116852,1926
11686,2347
11687,2414
116870,2826
116871,5179
116872,1887
116873,5011
11688,3630
11689,3160
116891,4054
11690,854
116903,962
116904,6590
116911,4221
116913,1413
116914,4034
11692,1775
116939,7812
11694,1867
116940,4327
11695,10294
116972,5025
11698,2092
11699,1233
117004,942
117005,957
11702,3203
11704,1375
11705,1665
117066,1570
117109,2161
117146,5191
117147,2036
117148,1971
117149,5012
117150,5734
117158,1471
117160,3456
117167,3140
11717,4769
117171,1562
117172,943
117197,1306
117198,6215
11720,3208
11722,1822
117229,2394
11727,1275
11730,696
11731,438
11732,3704
11733,10483
11735,29038
11736,10705
11737,2089
11739,1672
11740,1238
11744,5613
11745,2737
11746,3762
11747,1723
11749,3140
11750,5599
11752,1884
11754,5569
11757,1445
11758,2334
117586,1901
117589,5051
117590,2318
117591,3865
117592,3213
117599,4950
117600,3665
117606,5686
11761,4382
11764,4397
11765,3618
11766,3016
11767,1964
11768,1881
11769,1277
11770,641
11771,3552
11772,5563
11773,2051
11774,4020
11775,5922
11776,4730
11777,1520
11778,5804
11781,1716
11782,1263
11783,8789
11784,3319
11785,2751
11787,8831
11789,13029
11790,13252
11792,1185
11793,2352
11796,3842
11797,3140
11798,10440
11799,4053
11800,7824
11801,2037
11803,2796
11804,4495
11806,985
11807,521
11808,1666
11810,2383
11811,1218
11812,616
11813,763
11814,524
11815,1928
11816,1702
11818,1186
11819,4870
11820,3357
11821,1331
11826,2760
11827,1416
11828,1763
11829,6735
11830,1711
11831,2846
11832,2693
11833,1483
11834,12539
11835,2999
11836,7067
11837,1360
11838,3194
11839,1199
11840,2293
11841,2722
11842,5008
11843,2042
11844,933
118445,2652
118446,3515
118449,7116
11845,3731
118451,5906
118452,2314
118453,2790
118454,2254
11846,1477
11847,1417
11848,2126
11852,2227
11853,1056
11854,2433
11855,6715
11856,12375
11857,1131
11858,1092
11859,1609
11861,4879
11863,8528
11864,6518
11865,6344
11867,1639
11870,2795
11871,1308
11872,870
11875,3211
11876,3478
11877,7393
11878,3013
11881,5988
11883,3491
11886,2739
11889,1514
11890,1372
11891,3861
11898,1703
11899,8421
11905,2161
11906,16439
11907,4907
11908,2329
11909,7554
11910,2284
11911,1725
11920,12404
11921,2090
11922,2153
11923,3345
11924,2217
11925,1540
11927,438
11928,3648
11931,2422
11932,2959
11933,1830
11936,1017
11937,3440
11938,5849
11941,10325
11944,4003
11945,1658
11946,2979
11947,1879
11949,1962
11950,3996
11951,873
11957,951
11958,292
11964,7156
11966,4407
11972,1617
11973,1204
11974,3393
11975,4724
11977,8326
11979,4711
11980,9843
11981,4445
11982,5469
11983,815
11984,1152
11987,7239
11988,7857
11989,2371
11990,8737
11991,6810
11992,7336
11993,1692
11994,19914
11997,1248
11998,507
12000,5065
12005,3779
12006,4524
12007,1314
12009,3578
12010,2502
12012,1946
12013,6377
12014,10425
12015,1480
12017,1349
12018,2022
12020,1472
12021,5448
12022,1361
12023,1791
12028,1425
12029,3426
12031,166
12032,4396
12033,2126
12034,2042
12035,8410
12036,2904
12038,8134
12039,1773
12040,1606
12041,2857
12042,4116
12043,9724
12044,796
12045,764
12046,444
12047,796
12048,5185
12049,1228
12050,7172
12051,2304
12053,3285
12054,1936
12055,4804
12057,2461
12061,1338
12062,1680
12064,6948
12068,1466
12069,902
12070,2319
12075,2498
12091,7896
12095,1498
12096,682
12097,471
121021,12388
121022,794
12111,5060
12116,5679
12121,11756
12122,3573
12123,5366
12124,1413
12125,10844
12140,762
12142,5686
12143,2475
12144,5478
12145,2634
12151,3696
12153,6490
12154,1317
12155,3063
12156,2515
12159,1993
12160,2528
12161,2410
12162,2508
12163,2062
12164,3508
12165,2988
12166,5884
12167,5933
12168,3507
12169,3005
12173,4663
12175,6333
12176,1756
12177,3279
12180,3890
12181,2476
12182,2580
12183,3862
12189,8621
12190,12091
12192,2984
12193,3532
12209,2772
12211,23568
12212,7401
12215,1752
12217,15937
12223,2795
12224,3639
12226,5008
12227,3083
12228,1403
12229,2535
12231,4610
12234,12154
12235,5131
12236,3669
12237,2055
12238,881
12257,856
12258,1921
12259,1082
12260,1061
12261,1165
12262,1054
12263,2644
12265,9591
12266,5133
12267,4299
12268,5500
12269,1883
12270,754
12273,2675
12274,3019
12279,1767
12282,5259
12283,3917
12286,11393
12287,10493
12288,9643
12289,12470
12290,12697
12291,9428
12292,6496
12293,13023
12294,3695
12295,2718
12296,6809
12297,3873
12298,8572
12299,1203
12300,2887
12301,1446
12304,2481
12305,4127
12306,2701
12307,2867
12308,1737
12309,732
12310,1489
12311,3864
12313,4001
12314,1216
12315,2208
12316,11931
12317,1943
12319,5722
12321,3410
12322,7491
12323,8537
12325,3703
12326,12331
12328,1387
12330,4611
